ID,UUID,LocationTitle,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,ports_original,ports_inferred,ports_rule,is_fast_dc,avg_sessions_per_day_site,avg_sessions_per_day_per_port
461219,0170447A-BF4F-44E3-A292-35FB36F76F9C,South View Serviced Apartments Residential Charger,Jalan Kerinchi Kiri 2,Bangsar South,nan,Kuala Lumpur,59200,,3.113275225,101.6645667,,2,Default AC heuristic,0,5.68,2.84
460908,A1C06647-3E2B-41B8-850A-011EADAB5441,PROTON E.MAS BUTTERWORTH (ELEGANZ LIFESTYLE) (Car Showroom),"7528, Jalan Bagan Ajam",nan,Butterworth,Pulau Pinang,13000,,5.438376,100.381805,,1,Default AC heuristic,0,1.8,1.8
460907,6E5FBD2C-ACA5-4A0D-9B3D-56451D7F2727,MBPP PASAR BAYAN BARU (Grocery),Pasar Bayan Baru,nan,Bayan Lepas,Pulau Pinang,11900,,5.32463,100.287018,,2,Default AC heuristic,0,1.89,0.95
460906,FB75D41B-576D-4AE2-8B95-22CE615FD945,MBPP PASAR RAJAWALI (Public Area),Market and complex MBPP Jalan Rajawali,nan,Bayan Lepas,Pulau Pinang,11900,,5.306942,100.264809,,1,Default AC heuristic,0,2.58,2.58
460905,17FF301D-8F6B-48FD-B8F9-401001BF5AA0,[Restricted] LEXIS SUITES Pulau Pinang (Hotel),28,nan,BAYAN LEPAS,Pulau Pinang,11920,,5.287161,100.232903,,1,Default AC heuristic,0,1.71,1.71
460904,7F4CC5A8-0EB2-4502-8A41-0BDC6B16820E,[Restricted] VERTU RESORT CONDOMINIUM (Residential Condo),Vertu Resort Condominium,nan,Simpang Ampat,Pulau Pinang,14110,,5.237983,100.438507,,4,Venue multi-bay heuristic,0,5.08,1.27
460903,BAEA83D2-2D4A-4834-881A-0D54A37E9A23,[Restricted] ARCORIS RESIDENCES (Residential Condo),Arcoris Residences,nan,Kuala Lumpur,Kuala Lumpur,50480,,3.16833,101.651833,,2,Default AC heuristic,0,3.97,1.98
460902,027DE4CD-AE86-471A-9D81-2D01C35F1411,[Restricted] TRX RESIDENCES TOWER B (Residential Condo),TRX Residences @ TRX,nan,Kuala Lumpur,Kuala Lumpur,55188,,3.143634,101.719177,,2,Default AC heuristic,0,12.95,6.48
460901,580B433B-7A29-4425-9B14-DBA12B789F62,PUSAT DAGANGAN NZX (Shopping Mall),"Pusat Dagangan NZX, 47301",nan,Petaling Jaya,Selangor,47301,,3.115191,101.589211,,2,Default AC heuristic,0,2.47,1.24
460900,117EF0C6-5911-45AF-8E28-01740A1CECCB,[Restricted] BUNGARAYA CONDOMINIUM (Residential Condo),Bungaraya Condominium,nan,Shah Alam,Selangor,40150,,3.112455,101.571426,,2,Default AC heuristic,0,3.07,1.54
